날짜,의류/잡화,소비판매지수,소비자물가지수,월
201804,0.5,-0.0300088261253309,0.0018227663517331,4
201805,5.0,0.0263876251137396,0.0004851866452375,5
201806,-8.3,-0.0363475177304963,-0.0020206306388224,6
201807,-4.0,0.0193192272309106,-0.0019133621518743,7
201808,-13.6,-0.0342960288808663,0.008844710416878,8
201809,14.9,0.0280373831775699,0.0076310550763105,9
201810,17.1,0.0327272727272727,-0.0017960307719939,10
201811,-4.6,0.0228873239436619,-0.0071070860947011,11
201812,-2.1,0.0017211703958692,-0.0034430685593476,12
201901,-12.9,-0.056701030927835,-0.0010506323998868,1
201902,-11.6,-0.0910746812386156,0.0043181910116905,2
201903,24.0,0.1623246492985972,-0.0019131818227589,3
201904,-3.3,-0.039655172413793,0.0036319246173868,4
201905,9.7,0.0466786355475761,0.0017189212010333,5
