날짜,일조시간,일조율,일조시간등락,일조율등락,월
2016-10,195.7,56.27,0.02139874739039671,0.09453413732736826,10
2016-11,173.3,56.76,-0.11446090955544186,0.00870801492802542,11
2016-12,166.4,55.71,-0.03981534910559725,-0.0184989429175475,12
2017-01,209.0,67.97,0.2560096153846154,0.220068210375157,1
2017-02,210.0,69.31,0.004784688995215225,0.01971457996174797,2
2017-03,255.2,68.73,0.21523809523809523,-0.008368200836820106,3
2017-04,259.7,65.66,0.017633228840125303,-0.044667539647897714,4
2017-05,301.5,68.48,0.16095494801694277,0.04294852269265936,5
2017-06,285.2,64.51,-0.054063018242122785,-0.057973130841121434,6
2017-07,123.1,27.44,-0.5683730715287518,-0.5746395907611224,7
2017-08,166.2,39.47,0.3501218521527214,0.4384110787172011,8
2017-09,233.7,64.75,0.40613718411552346,0.6404864454015708,9
