날짜,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험,소비판매지수,소비자물가지수
201309,4.6,30.9,20.1,-9.3,-21.9,-11.2,-14.1,-9.5,2.8,1.4,-15.6,-32.0,-12.3,-1.5,1.0,0.03183315038419332,0.0019412685814796937
201310,8.3,-24.4,17.7,3.0,10.7,14.7,22.0,6.7,18.1,-1.2,4.0,12.3,7.7,7.5,9.4,0.03297872340425534,-0.003050771256382534
201311,2.7,-2.6,2.1,-0.3,10.7,-4.2,-5.7,-4.8,-2.4,1.4,-0.2,-8.3,-5.9,-12.3,-7.8,0.016477857878475888,-0.00019326991216961353
201312,5.0,3.6,-0.7,1.1,-7.9,3.4,7.6,11.2,-8.4,16.8,3.9,19.9,16.4,3.6,8.0,0.012158054711246313,0.0012135401005197721
201401,-10.0,30.2,-17.5,-4.3,-10.4,6.8,-6.0,-0.2,-17.6,-10.4,2.3,-7.2,-12.8,18.5,-8.3,-0.03503503503503502,0.005373864355511682
201402,-5.7,-36.7,-8.6,-12.1,-3.6,-9.6,-12.6,-9.1,-12.8,-8.1,0.4,-15.0,-11.8,-18.6,0.0,-0.10062240663900412,0.0026672356769443795
201403,8.9,20.1,20.7,12.8,26.7,4.4,17.7,6.0,32.9,45.9,3.2,-2.5,20.6,0.9,7.5,0.10380622837370246,0.001840817195147837
201404,-2.4,-2.5,-0.3,-4.5,-13.0,-3.4,5.1,5.0,0.8,-28.6,-14.9,1.2,-5.0,4.3,-1.7,-0.03343782654127481,0.0006478816394590581
201405,-1.1,12.3,7.0,4.1,13.3,0.7,-1.0,-2.2,10.1,-2.1,11.3,12.0,10.4,-4.6,-2.2,0.06054054054054059,0.0016451907359840146
201406,3.0,-7.6,-12.5,-4.5,5.7,-4.8,-1.4,-1.6,-8.8,-9.1,-5.8,-3.2,-3.1,1.0,0.2,-0.03669724770642191,-0.001282200722694915
201407,7.5,1.2,-2.5,5.4,7.8,13.8,17.5,30.6,-2.8,19.2,17.7,10.8,5.3,23.5,11.2,0.020105820105820182,0.0014642220524572203
201408,-7.9,14.8,-11.3,1.8,-13.3,-1.8,-14.7,-8.7,1.2,-6.8,2.7,26.2,4.0,-19.9,-9.4,-0.024896265560165998,0.001748140614074245
201409,4.0,12.9,11.3,-7.8,-7.8,-10.0,-0.8,-10.2,-1.4,2.0,-14.9,-29.4,-12.9,8.2,3.1,0.018085106382978777,-0.0006451544669014986
201410,6.3,-15.5,19.2,2.5,3.2,10.1,11.3,6.7,14.2,-3.5,-1.1,8.5,8.9,4.6,3.7,0.017763845350052376,-0.003016192189649658
201411,0.2,-4.2,-1.1,-3.8,12.3,-3.4,4.9,-6.4,-4.2,3.7,-0.9,-12.6,-5.5,-12.6,-8.4,0.026694045174537884,-0.0020168780850272627
201412,13.5,2.4,0.0,-0.5,-8.7,2.3,21.3,13.4,-7.8,14.2,9.0,29.3,11.8,4.6,14.5,0.052000000000000046,-9.57294048822277e-05
201501,-10.1,0.9,-18.2,-12.2,-7.5,10.4,-25.0,2.0,-12.7,-7.5,4.3,-4.7,-6.1,23.6,-7.4,-0.1045627376425855,0.006776163223624065
201502,-10.1,22.3,-6.7,-11.4,-5.8,-15.7,-12.3,-16.7,-14.6,-11.7,-6.2,-18.9,-14.3,-24.4,-7.8,-0.013800424628450103,-0.0005916972200796788
201503,13.6,-22.3,25.2,19.6,26.7,14.0,18.2,11.4,34.6,51.5,8.9,3.7,17.3,6.4,19.0,0.06781485468245418,9.515049636843464e-05
201504,-2.1,2.1,-0.9,-7.8,-14.6,-2.1,3.4,9.2,2.3,-26.3,-15.5,-2.9,-1.9,6.4,-2.6,-0.005040322580645129,0.0003065668738635452
201505,-4.2,15.3,11.8,8.0,11.8,-0.9,-7.9,-3.3,16.9,-4.6,11.7,17.5,13.6,-2.4,-4.4,0.03951367781155013,0.0028005284015852894
201506,8.6,-9.7,-19.0,-6.9,0.8,-12.9,-0.7,-11.8,-17.8,-9.0,-7.7,-19.2,-12.6,4.8,7.6,-0.07407407407407407,0.00020023184740236566
201507,4.3,-0.5,0.1,6.3,24.2,16.6,11.4,30.3,3.8,19.0,17.5,19.5,10.5,21.9,5.0,0.030526315789473735,0.001801725863721959
201508,-9.0,6.1,-10.1,2.9,-4.3,0.7,-11.9,-12.6,1.6,-8.0,2.5,32.4,6.3,-21.9,-10.0,-0.023493360572012345,0.0013988220445939614
201509,2.2,33.8,11.5,-8.0,-16.1,-4.2,15.3,-1.6,-4.9,1.6,-15.6,-33.2,-13.9,10.1,-0.1,0.06903765690376584,-0.0025941835673699565
201510,12.2,-28.9,17.3,0.7,13.7,11.1,6.9,6.9,19.9,-2.2,8.2,17.4,5.3,10.0,13.5,0.04011741682974557,0.0
201511,0.7,-1.7,-1.7,-2.4,2.5,-7.5,-5.3,-6.1,-8.4,-6.1,-8.1,-8.6,-1.2,-14.5,-6.8,0.0,-0.001895415201229822
201512,5.4,6.0,-0.5,3.1,-5.3,10.2,28.3,12.9,-7.1,28.1,13.1,19.5,10.5,9.9,10.3,0.02539981185324547,0.002996223070917514
201601,-2.1,4.5,-15.5,-4.1,-8.4,4.0,-35.5,-1.6,-15.3,-11.1,3.9,-3.6,-6.7,16.9,-8.6,-0.0862385321100918,0.0017040075733669724
201602,-8.8,9.0,-8.9,-9.9,-0.6,-11.9,-1.2,-11.5,-8.1,-7.6,-4.3,-18.7,-11.5,-24.7,-5.2,-0.04016064257028118,0.004284274193548487
201603,14.7,-18.1,21.1,7.6,16.3,12.6,36.8,8.1,29.2,45.6,7.1,1.4,12.4,11.7,18.8,0.09309623430962355,-0.0025826014219991755
201604,-5.0,2.2,3.1,-3.7,-10.3,-4.5,-5.4,2.3,6.2,-28.4,-14.3,-1.6,0.5,5.0,-8.6,-0.022966507177033524,0.0018869309068798579
201605,9.9,8.8,8.2,7.4,1.3,-2.7,0.4,4.4,11.8,-3.1,7.9,15.6,11.8,3.3,4.0,0.050930460333006966,0.0005964027497304958
201606,-1.7,-7.6,-9.9,0.4,0.1,0.8,11.6,3.4,-11.1,-3.4,-0.9,-4.1,-6.1,2.8,0.9,-0.03634669151910519,-0.00019868242183407325
201607,7.1,-1.2,-6.5,4.6,21.3,6.1,-13.0,6.6,-2.5,14.5,11.8,6.1,5.7,23.1,2.2,-0.012572533849129708,-0.0018826285678427146
201608,-1.6,2.8,-12.2,2.1,-3.0,-3.5,-16.7,-5.9,1.5,-8.5,2.2,39.8,4.6,-17.1,-1.3,-0.012732615083251742,0.0025777787092244875
201609,-1.4,28.0,8.4,-9.0,-22.1,-5.3,7.0,-10.1,-5.4,0.9,-10.3,-33.1,-14.5,8.0,-2.3,0.01388888888888884,0.005957544655455171
201610,6.0,-12.5,15.8,4.6,5.9,8.0,8.9,4.4,19.5,-2.4,-1.4,5.0,9.9,4.6,2.2,0.0606653620352251,0.0013714713185866145
201611,4.9,-7.1,2.8,2.8,-1.0,-0.2,5.0,5.9,-5.5,2.0,-0.5,-3.8,-6.7,-8.3,0.8,0.0064575645756457245,-0.0014733500036315794
201612,6.2,5.8,-4.5,5.3,-9.0,11.2,29.8,9.3,-11.5,16.4,8.4,12.8,11.7,3.5,5.2,0.019248395967002896,0.0010910564543782364
201701,-2.7,29.7,-13.4,-0.9,-4.7,-7.9,-21.7,1.4,-12.3,-14.1,-7.4,-2.7,-7.0,11.3,-8.4,-0.0710431654676259,0.010628801561105128
201702,-1.1,-38.7,-4.7,-6.1,9.7,-0.4,-7.4,-5.8,-4.7,-0.6,13.9,-9.8,-7.8,-12.2,-0.7,-0.07841239109390119,0.002731959821703711
201703,10.6,20.1,20.7,12.0,9.3,7.4,20.7,4.4,30.2,41.1,1.7,-6.6,12.5,2.1,17.3,0.1071428571428572,-0.0006862504097018274
