날짜,평균기온,평균최고기온,평균최저기온,일교차,기온등락률,일교차등락률,월
201611,6.8,11.6,2.8,8.8,-0.5776397515527951,-0.09278350515463918,11
201612,1.2,5.8,-2.7,8.5,-0.8235294117647058,-0.03409090909090917,12
201701,-1.8,2.9,-5.8,8.7,-2.5,0.0235294117647058,1
201702,-0.2,4.8,-4.7,9.5,-0.8888888888888888,0.09195402298850586,2
201703,6.3,12.3,1.7,10.600000000000001,-32.5,0.11578947368421066,3
201704,13.9,20.0,9.1,10.9,1.2063492063492065,0.028301886792452713,4
201705,19.5,25.4,14.4,10.999999999999998,0.40287769784172656,0.009174311926605228,5
201706,23.3,28.8,18.7,10.100000000000001,0.19487179487179485,-0.08181818181818157,6
201707,26.9,30.4,24.3,6.099999999999998,0.15450643776824036,-0.3960396039603963,7
201708,25.9,29.7,22.9,6.800000000000001,-0.03717472118959109,0.11475409836065631,8
201709,22.1,27.4,17.5,9.899999999999999,-0.14671814671814665,0.4558823529411762,9
201710,16.4,22.5,11.6,10.9,-0.2579185520361992,0.10101010101010122,10
201711,5.6,10.5,1.3,9.2,-0.6585365853658536,-0.15596330275229364,11
201712,-1.9,2.2,-5.7,7.9,-1.3392857142857144,-0.1413043478260868,12
201801,-4.0,0.1,-7.3,7.3999999999999995,1.1052631578947367,-0.06329113924050644,1
201802,-1.6,3.3,-5.9,9.2,-0.6,0.2432432432432432,2
201803,8.1,13.6,3.8,9.8,-6.062499999999999,0.0652173913043479,3
201804,13.0,18.5,8.1,10.4,0.6049382716049383,0.061224489795918435,4
201805,18.2,23.3,13.4,9.9,0.3999999999999999,-0.04807692307692313,5
201806,23.1,28.4,18.9,9.5,0.2692307692307694,-0.04040404040404044,6
201807,27.8,32.1,24.2,7.900000000000002,0.20346320346320335,-0.1684210526315787,7
201808,28.8,33.3,25.2,8.099999999999998,0.03597122302158273,0.025316455696202,8
201809,21.5,26.0,17.6,8.399999999999999,-0.2534722222222222,0.0370370370370372,9
201810,13.1,18.6,8.5,10.100000000000001,-0.3906976744186047,0.20238095238095277,10
201811,7.8,13.2,3.6,9.6,-0.40458015267175573,-0.04950495049504966,11
201812,-0.6,4.1,-4.7,8.8,-1.0769230769230769,-0.08333333333333326,12
201901,-0.9,4.1,-5.1,9.2,0.5,0.04545454545454519,1
201902,1.0,6.0,-3.2,9.2,-2.111111111111111,0.0,2
201903,7.1,12.4,2.7,9.7,6.1,0.05434782608695654,3
201904,12.1,17.6,7.2,10.400000000000002,0.704225352112676,0.07216494845360844,4
201905,19.4,25.6,13.7,11.900000000000002,0.6033057851239669,0.14423076923076916,5
201906,22.5,27.7,18.1,9.599999999999998,0.1597938144329898,-0.19327731092437006,6
201907,25.9,30.1,22.7,7.400000000000002,0.15111111111111097,-0.2291666666666663,7
201908,27.2,31.6,23.6,8.0,0.050193050193050315,0.0810810810810807,8
201909,22.6,27.1,19.0,8.100000000000001,-0.16911764705882348,0.012500000000000178,9
201910,16.4,21.8,11.8,10.0,-0.2743362831858408,0.2345679012345676,10
201911,7.6,12.9,3.1,9.8,-0.5365853658536586,-0.019999999999999907,11
201912,1.4,5.3,-2.6,7.9,-0.8157894736842105,-0.19387755102040816,12
202001,1.6,5.9,-1.7,7.6000000000000005,0.14285714285714302,-0.03797468354430378,1
202002,2.5,7.2,-1.3,8.5,0.5625,0.11842105263157876,2
202003,7.7,13.3,2.6,10.700000000000001,2.08,0.2588235294117649,3
202004,11.1,16.6,6.3,10.3,0.4415584415584415,-0.03738317757009346,4
202005,18.0,23.3,13.7,9.600000000000001,0.6216216216216217,-0.06796116504854366,5
202006,23.9,29.0,19.9,9.100000000000001,0.3277777777777777,-0.05208333333333337,6
202007,24.1,28.0,21.1,6.899999999999999,0.008368200836820217,-0.241758241758242,7
202008,26.5,29.3,24.4,4.900000000000002,0.09958506224066377,-0.2898550724637676,8
202009,21.4,25.6,18.0,7.600000000000001,-0.1924528301886793,0.551020408163265,9
202010,14.3,19.5,9.6,9.9,-0.3317757009345793,0.30263157894736814,10
202011,8.0,12.6,4.0,8.6,-0.44055944055944063,-0.13131313131313138,11
202012,-0.3,3.9,-4.2,8.1,-1.0375,-0.05813953488372092,12
202101,-2.4,2.2,-6.8,9.0,7.0,0.11111111111111116,1
202102,2.7,7.9,-2.2,10.100000000000001,-2.125,0.12222222222222245,2
202103,9.0,14.8,4.3,10.5,2.333333333333333,0.03960396039603942,3
202104,14.2,19.5,9.5,10.0,0.5777777777777777,-0.04761904761904767,4
202105,17.1,21.9,12.8,9.099999999999998,0.20422535211267623,-0.09000000000000019,5
202106,22.8,27.6,18.9,8.700000000000003,0.33333333333333326,-0.04395604395604347,6
202107,28.1,32.2,24.6,7.600000000000001,0.23245614035087714,-0.12643678160919547,7
202108,25.9,29.7,22.8,6.899999999999999,-0.0782918149466193,-0.09210526315789513,8
202109,22.6,26.9,18.8,8.099999999999998,-0.12741312741312727,0.17391304347826075,9
202110,15.6,20.5,11.6,8.9,-0.3097345132743363,0.09876543209876587,10
202111,8.2,13.1,4.0,9.1,-0.47435897435897434,0.022471910112359383,11
202112,0.6,5.1,-3.5,8.6,-0.9268292682926829,-0.05494505494505497,12
202201,-2.2,2.6,-6.2,8.8,-4.666666666666667,0.023255813953488413,1
202202,-1.1,3.8,-5.3,9.1,-0.5,0.03409090909090895,2
202203,7.7,12.7,3.2,9.5,-8.0,0.04395604395604402,3
202204,14.8,20.6,10.0,10.600000000000001,0.922077922077922,0.11578947368421066,4
